Classes			Funksjon
----------------------------------------------------------------------------
Program			Kjøre programmet
InfoMessage		Litt informasjon om hva de forskjellige valgene gir
TaskTracker		Logikken for TaskTrackeren
Menu			Liste over hvilke valgmuligheter brukeren har
Add			Legge til en oppgave
Update			Oppdatere en oppgave
Delete			Slette en oppgave
MarkTask		Markere en oppgave som uferdig eller ferdig
AllTasksList		En liste hvor man kan legge til alle oppgavene
DoneTasksList		En liste hvor alle ferdige oppgaver blir lagt til
InProgressTasksList	En liste hvor alle uferdige oppgaver blir lagt til
